"GOALDIF","FRANCE_GAMES","ENG_GAMES"
-8,0.000113692348504945617159965134346458483344,0.0000626370184779204509865330410272471030379
-7,0.000113692348504945617159965134346458483344,0.00010439503079653408497755506837874517173
-6,0.000454769394019782468639860537385833933376,0.000814281240212965862824929533354212339493
-5,0.001515897980065941562132868457952779777921,0.002547238751435431673452343668441382190208
-4,0.007314207753818168037291090309622162428469,0.008894456623864704040087691825869088631381
-3,0.0201993405843786713154204722022207905408,0.0261822737237707485123708111493892890698
-2,0.0598400727631030431651949823776859817334,0.0659776594634095417058148032153669485332
-1,0.1226740440368363209156023799598287035283,0.1379267146883808330723457563419981208894
0,0.2639557357789820745063857202410277788305,0.2466645787660507359849671155652990917632
1,0.2301512108235115776708227536286807897828,0.2163482618227372377074851237081114938929
2,0.156061697047788683821578807746238678137,0.1503706023593276960016703204927445453596
3,0.0792056694584454466214423769280327433964,0.0815116400459338135504749973901242300866
4,0.0362299617235760033349755561450714366923,0.0379997912099384069318300448898632425097
5,0.013870466517603365293515746390267934968,0.0156383756133208059296377492431360267251
6,0.005116155682722552772198431045590631750483,0.005616452656853533771792462678776490239065
7,0.001781180126577481335506120438094516239057,0.002046142603612068065560079340223405365905
8,0.000947436237541213476333042786220487361201,0.000835160246372272679820440547029961373839
9,0.000227384697009891234319930268692916966688,0.000292306086230295437937154191460486480844
10,0.000151589798006594156213286845795277977792,0.000125274036955840901973066082054494206076
